`TimeStamp`,UniqueID,LineName,MessageName,`Source`,Target,RequestID,MessageBody
2024-09-29 20:47:45.265 +0000,6f949599-b637-4e6b-9fab-b07e1862e8ca,wj_c03,CFX.ResourcePerformance.FaultOccurred,PLC.A00.E023140001,inline-control,0dc67ed1-c12f-4df4-ba9b-abbd082d9fd9,"{""$type"":""CFX.ResourcePerformance.FaultOccurred, CFX"",""Fault"":{""TransactionID"":null,""Cause"":""MechanicalFailure"",""Severity"":""Error"",""FaultCode"":""133"",""FaultOccurrenceId"":""cca2b097-f6ce-486a-b912-0f7247eb6677"",""Lane"":null,""Stage"":null,""SideLocation"":""Unknown"",""AccessType"":""Unknown"",""Description"":null,""DescriptionTranslations"":{},""OccurredAt"":""2024-09-29T20:47:45.262Z"",""DueDateTime"":null}}"
2024-09-29 20:47:45.442 +0000,afef51ae-32a1-4716-9acd-5e9f0f611660,wj_c03,CFX.ResourcePerformance.StationParametersModified,PLC.A00.E32010130R,inline-control,78aee342-dce0-4884-8157-13b9d0e4e602,"{""$type"":""CFX.ResourcePerformance.StationParametersModified, CFX"",""ModifiedParameters"":[{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""Barcode"",""Value"":""Tesla""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""CycleTime"",""Value"":""12""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""ErrorCnt"",""Value"":""23""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""ErrorTimes"",""Value"":""2494""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""FailQty"",""Value"":""0""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""Index"",""Value"":""2825""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""InputQty"",""Value"":""202520""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""Light"",""Value"":""1""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""Model"",""Value"":""""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""PassQty"",""Value"":""202520""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""RunningTime"",""Value"":""23962""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""SelfCheck"",""Value"":""1""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""Status"",""Value"":""0""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""StatusCode"",""Value"":""0""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""WaitingTime"",""Value"":""48382""}]}"
2024-09-29 20:47:45.485 +0000,4b0c39b2-5147-4acc-b4c0-d7838126e7b8,wj_c03,CFX.ResourcePerformance.StationParametersModified,PLC.B00.ST00610016,inline-control,915e3292-0cd8-4d87-932a-35c1beac810e,"{""$type"":""CFX.ResourcePerformance.StationParametersModified, CFX"",""ModifiedParameters"":[{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""Barcode"",""Value"":""""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""CycleTime"",""Value"":""311""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""ErrorCnt"",""Value"":""3629""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""ErrorTimes"",""Value"":""102587""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""FailQty"",""Value"":""16028""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""Index"",""Value"":""31021""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""InputQty"",""Value"":""124336""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""Light"",""Value"":""1""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""Model"",""Value"":""""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""PassQty"",""Value"":""108308""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""RunningTime"",""Value"":""421425""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""SelfCheck"",""Value"":""1""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""Status"",""Value"":""0""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""StatusCode"",""Value"":""0""},{""$type"":""CFX.Structures.GenericParameter, CFX"",""Name"":""WaitingTime"",""Value"":""411""}]}"
2024-09-29 20:47:45.748 +0000,dd471d1e-47a2-411d-b9a5-ba162cb5fb84,wj_c03,CFX.Production.UnitsArrived,PLC.A00.E023140501,inline-control,a5b9592f-a6c6-4963-90a7-e68eb7cc9956,"{""$type"":""CFX.Production.UnitsArrived, CFX"",""PrimaryIdentifier"":""string"",""HermesIdentifier"":""string"",""UnitCount"":1,""Units"":[{""UnitIdentifier"":""1340"",""PositionNumber"":1,""PositionName"":""string"",""X"":0.0,""Y"":0.0,""Rotation"":0.0,""FlipX"":false,""FlipY"":false,""Status"":""Pass""}],""Lane"":1}"
